file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
media/webrtc/trunk/webrtc/modules/desktop_capture/desktop_region.h,166,1,3,0,0.67
media/webrtc/trunk/webrtc/modules/desktop_capture/screen_capturer_mock_objects.h,47,1,4,0,0.50
media/webrtc/trunk/webrtc/modules/rtp_rtcp/interface/rtp_payload_registry.h,167,1,8,0,0.20
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/rtp_receiver_strategy.h,108,1,1,0,0.82
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/rtp_utility.h,99,0,0,0,0.44
media/webrtc/trunk/webrtc/common_types.h,960,1,42,1,0.32
parser/html/nsHtml5NamedCharactersInclude.h,2266,0,0,0,1.01
js/src/ctypes/libffi/testsuite/libffi.call/return_dbl2.c,42,2,2,0,0.23
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/receive_statistics_impl.cc,565,2,44,2,0.14
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/receive_statistics_impl.h,147,1,1,0,0.19
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/bitrate.h,78,1,2,0,0.44
media/webrtc/trunk/webrtc/system_wrappers/interface/critical_section_wrapper.h,54,1,3,0,0.95
security/pkix/lib/pkixcert.cpp,303,17,2,2,0.74
security/pkix/lib/pkixutil.h,272,1,25,1,0.56
media/libopus/silk/float/encode_frame_FLP.c,372,11,3,4,0.60
media/libopus/silk/float/main_FLP.h,313,0,0,0,1.09
media/libopus/silk/tuning_parameters.h,171,0,0,0,0.00
media/libopus/include/opus_defines.h,753,0,0,0,272.50
media/libopus/silk/float/structs_FLP.h,132,0,0,0,0.90
media/libopus/silk/structs.h,327,0,0,0,0.68
media/libopus/silk/main.h,471,0,0,0,1.03
media/libopus/silk/SigProc_FIX.h,615,2,9,1,1.17
media/libopus/silk/define.h,235,0,0,0,0.00
media/libopus/silk/macros.h,153,2,2,0,5.38
embedding/components/webbrowserpersist/WebBrowserPersistRemoteDocument.cpp,186,2,20,5,0.06
embedding/components/webbrowserpersist/WebBrowserPersistRemoteDocument.h,55,0,0,0,0.81
embedding/components/webbrowserpersist/WebBrowserPersistDocumentParent.h,79,0,0,0,0.71
embedding/components/webbrowserpersist/WebBrowserPersistResourcesParent.h,54,0,0,0,0.46
embedding/components/webbrowserpersist/WebBrowserPersistSerializeParent.h,49,0,0,0,0.38
media/webrtc/trunk/webrtc/base/natsocketfactory.cc,495,2,58,3,0.13
media/webrtc/trunk/webrtc/base/natsocketfactory.h,164,1,6,0,0.42
media/webrtc/trunk/webrtc/base/logging.h,349,1,10,0,1.73
media/webrtc/trunk/webrtc/base/natserver.h,110,1,1,0,0.36
media/webrtc/trunk/webrtc/base/virtualsocketserver.h,341,1,20,0,0.51
media/webrtc/trunk/webrtc/base/common.h,200,1,2,0,2.81
media/webrtc/trunk/webrtc/modules/video_processing/main/source/spatial_resampler.h,61,1,1,0,0.33
media/webrtc/trunk/webrtc/modules/interface/module_common_types.h,909,3,36,3,0.21
media/webrtc/trunk/webrtc/modules/video_processing/main/interface/video_processing_defines.h,41,0,0,0,2.50
media/webrtc/trunk/webrtc/common_video/libyuv/include/scaler.h,70,0,0,0,0.93
media/webrtc/trunk/webrtc/common_video/libyuv/include/webrtc_libyuv.h,158,0,0,0,1.48
dom/html/HTMLHRElement.cpp,267,8,6,4,0.14
media/libtremor/lib/os.h,64,0,0,0,0.00
media/libogg/include/ogg/os_types.h,178,0,0,0,2.00
media/libtremor/lib/registry.h,40,0,0,0,5.33
intl/icu/source/i18n/unicode/calendar.h,2549,1,17,0,6.62
intl/icu/source/common/unicode/utypes.h,729,1,2,0,2.51
intl/icu/source/common/unicode/uconfig.h,450,0,0,0,0.00
intl/icu/source/common/unicode/uobject.h,320,1,2,0,11.50
intl/icu/source/common/unicode/locid.h,812,1,7,0,4.42
intl/icu/source/i18n/unicode/timezone.h,968,1,3,0,7.41
intl/icu/source/i18n/unicode/ucal.h,1560,1,6,0,4.36
intl/icu/source/common/unicode/umisc.h,60,0,0,0,4.75
intl/icu/source/common/unicode/uversion.h,193,0,0,0,10.58
intl/icu/source/common/unicode/uvernum.h,170,0,0,0,0.00
intl/icu/source/common/unicode/platform.h,828,0,0,0,0.00
intl/icu/source/common/unicode/uloc.h,1251,0,0,0,5.19
intl/icu/source/common/unicode/umachine.h,356,0,0,0,55.00
security/nss/lib/ssl/sslver.c,18,0,0,0,7.00
security/sandbox/chromium/base/strings/stringprintf.h,62,0,0,0,0.65
security/sandbox/chromium/base/base_export.h,34,0,0,0,0.00
security/sandbox/chromium/base/compiler_specific.h,201,0,0,0,0.00
security/sandbox/chromium/build/build_config.h,168,0,0,0,0.00
media/webrtc/trunk/tools/gyp/test/mac/postbuild-copy-bundle/main.c,4,1,1,0,3.00
media/libvorbis/lib/vorbis_info.c,673,6,24,4,0.20
media/libogg/include/ogg/ogg.h,214,0,0,0,0.37
media/libvorbis/include/vorbis/codec.h,243,0,0,0,0.62
media/libvorbis/lib/codec_internal.h,167,0,0,0,0.57
media/libvorbis/lib/codebook.h,118,0,0,0,0.98
media/libvorbis/lib/registry.h,32,0,0,0,5.33
media/libvorbis/lib/window.h,26,0,0,0,5.33
media/libvorbis/lib/psy.h,154,0,0,0,0.29
media/libvorbis/lib/misc.h,58,0,0,0,5.33
media/libvorbis/lib/os.h,191,1,3,0,1.95
media/libvorbis/lib/backends.h,144,0,0,0,0.59
gfx/layers/ipc/GonkNativeHandle.cpp,80,2,6,2,0.16
gfx/layers/ipc/GonkNativeHandle.h,97,1,1,0,1.43
embedding/components/webbrowserpersist/WebBrowserPersistSerializeChild.h,39,0,0,0,0.39
media/webrtc/trunk/webrtc/test/linux/glx_renderer.cc,178,4,7,2,0.10
media/webrtc/trunk/webrtc/test/linux/glx_renderer.h,48,1,1,0,0.57
modules/libjar/zipwriter/nsZipHeader.cpp,389,6,15,4,0.10
dom/system/gonk/VolumeServiceTest.h,19,0,0,0,1.00
gfx/angle/src/third_party/murmurhash/MurmurHash3.h,37,0,0,0,3.67
build/stlport/stlport/stddef.h,44,0,0,0,0.00
media/webrtc/trunk/testing/gtest/src/gtest-test-part.cc,110,2,8,1,0.96
media/webrtc/trunk/testing/gtest/include/gtest/gtest-test-part.h,177,1,13,0,1.21
media/webrtc/trunk/testing/gtest/src/gtest-internal-inl.h,1056,1,47,3,1.04
media/webrtc/trunk/testing/gtest/src/gtest.cc,4947,2,307,5,0.46
netwerk/socket/nsSOCKSIOLayer.h,23,0,0,0,0.75
gfx/angle/src/compiler/translator/DirectiveHandler.cpp,186,5,7,3,0.05
gfx/angle/src/compiler/translator/DirectiveHandler.h,50,1,2,0,0.22
gfx/angle/src/common/debug.h,154,1,2,0,0.63
gfx/angle/src/compiler/translator/Diagnostics.h,41,1,3,0,0.29
gfx/gl/TextureGarbageBin.h,47,1,4,1,0.41
gfx/gl/GLContextTypes.h,63,0,0,0,0.30
security/nss/lib/smime/cmsdigdata.c,210,2,9,2,0.71
security/nss/lib/smime/cmslocal.h,353,0,0,0,1.99
security/nss/lib/util/secitem.h,118,0,0,0,2.58
security/nss/lib/util/secasn1.h,292,0,0,0,0.48
security/nss/lib/util/secerr.h,218,0,0,0,0.06
security/nss/lib/smime/cmst.h,496,0,0,0,0.74
dom/svg/SVGFEDropShadowElement.h,79,1,2,0,0.20
dom/svg/nsSVGFilters.h,242,1,17,0,0.26
dom/svg/nsSVGNumber2.h,124,1,9,0,0.29
dom/svg/nsSVGNumberPair.h,135,1,9,0,0.27
dom/svg/nsSVGString.h,108,1,12,0,0.27
toolkit/crashreporter/google-breakpad/src/processor/stackwalker_ppc.cc,146,4,3,1,1.09
toolkit/crashreporter/google-breakpad/src/processor/stackwalker_ppc.h,79,0,0,0,2.81
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/call_stack.h,77,1,2,0,3.13
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/memory_region.h,79,1,1,0,3.69
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/stack_frame_cpu.h,405,1,11,1,0.78
toolkit/crashreporter/google-breakpad/src/processor/logging.h,186,1,3,0,2.71
toolkit/crashreporter/google-breakpad/src/google_breakpad/common/minidump_cpu_ppc.h,168,0,0,0,3.83
gfx/thebes/gfxPlatform.cpp,2373,3,128,3,0.16
nsprpub/pr/include/prprf.h,122,0,0,0,5.73
gfx/src/gfxCrashReporterUtils.h,51,1,3,0,0.77
gfx/thebes/gfxPlatform.h,808,1,35,1,0.96
gfx/thebes/gfxPrefs.h,510,1,956,1,0.26
gfx/thebes/gfxEnv.h,124,1,27,0,1.19
gfx/thebes/gfxTextRun.h,1197,2,63,3,0.76
ipc/chromium/src/base/process.h,79,1,4,0,1.17
xpcom/build/nsXULAppAPI.h,496,0,0,0,2.15
xpcom/io/nsDirectoryServiceUtils.h,31,2,1,1,0.42
xpcom/io/nsDirectoryServiceDefs.h,168,0,0,0,0.00
gfx/thebes/gfxWindowsPlatform.h,377,1,16,1,0.28
xpcom/glue/nsCRTGlue.h,147,1,2,0,1.80
gfx/thebes/gfxPlatformMac.h,111,1,5,0,0.21
gfx/thebes/gfxQuartzSurface.h,45,1,2,0,0.24
gfx/thebes/gfxPlatformGtk.h,153,1,5,0,0.34
gfx/thebes/gfxFont.h,2205,1,140,1,0.54
gfx/thebes/gfxQtPlatform.h,100,1,2,0,0.35
gfx/thebes/gfxAndroidPlatform.h,113,1,5,0,0.11
dom/base/nsGkAtoms.h,35,0,0,0,3.60
gfx/thebes/gfxPlatformFontList.h,440,1,19,1,0.36
gfx/thebes/gfxContext.h,688,1,24,1,1.02
gfx/thebes/gfxImageSurface.h,189,2,8,1,1.00
intl/unicharutil/util/nsUnicodeProperties.h,153,1,7,0,0.34
gfx/thebes/gfxGraphiteShaper.h,59,0,0,0,0.29
gfx/thebes/gfx2DGlue.h,131,2,14,1,0.07
gfx/thebes/gfxGradientCache.h,36,0,0,0,0.35
gfx/thebes/gfxUtils.h,369,1,5,0,1.23
gfx/thebes/nsUnicodeRange.h,91,0,0,0,0.41
xpcom/glue/nsServiceManagerUtils.h,94,1,8,1,0.09
gfx/layers/FrameMetrics.h,1014,1,113,2,0.33
xpcom/glue/MainThreadUtils.h,42,0,0,0,6.00
toolkit/crashreporter/nsExceptionHandler.h,276,0,0,0,1.42
gfx/qcms/qcms.h,179,0,0,0,0.82
nsprpub/lib/libc/include/plstr.h,437,0,0,0,4.50
xpcom/ds/nsCRT.h,186,1,17,1,0.71
gfx/gl/GLContext.h,3695,3,373,2,0.11
gfx/gl/GLContextProvider.h,83,0,0,0,1.33
gfx/layers/opengl/TexturePoolOGL.h,40,0,0,0,1.31
gfx/skia/skia/include/core/SkGraphics.h,172,1,2,0,3.09
gfx/skia/skia/include/gpu/GrContext.h,461,1,18,1,1.52
gfx/skia/skia/include/gpu/gl/GrGLInterface.h,515,1,7,0,0.30
gfx/gl/SkiaGLGlue.h,64,1,2,0,0.69
xpcom/base/nsAlgorithm.h,75,2,6,2,0.24
gfx/thebes/VsyncSource.h,82,1,3,1,0.54
gfx/thebes/SoftwareVsyncSource.h,64,1,3,1,0.37
gfx/vr/gfxVR.h,316,1,39,1,0.12
gfx/vr/ipc/VRManagerChild.h,62,2,3,2,0.29
tools/memory-profiler/MemoryProfiler.cpp,326,3,13,3,0.05
tools/memory-profiler/MemoryProfiler.h,160,1,7,0,0.38
