bug_id,review_iterations,comment_times,comment_words,reviewer_cnt,reviewer_comment_rate,non_author_voters,neg_review_rate,response_delay,review_duration,feedback_count,neg_feedbacks,feedback_delay,review_status
1045251,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.11,1.11,0.0,0.0,-1.0,+
1131451,1.0,7.09,71.82,1.0,0.0,1.0,0.0,28.32,28.32,0.0,0.0,-1.0,+
1131455,1.0,1.0,6.0,1.0,0.0,1.0,0.0,161.65,161.65,0.0,0.0,-1.0,+
1260725,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.25,1.25,0.0,0.0,-1.0,+
1260728,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.53,2.53,0.0,0.0,-1.0,+
1173385,1.0,9.0,51.0,1.0,0.0,1.0,0.0,1.44,1.44,0.0,0.0,-1.0,+
1045783,1.0,1.6,18.8,1.0,0.0,1.0,0.2,2.65,2.65,0.0,0.0,-1.0,?
1141032,1.0,3.0,10.0,1.0,0.0,1.0,0.0,0.12,0.12,0.0,0.0,-1.0,+
1141031,1.0,4.0,31.0,1.0,0.0,1.0,0.0,2.14,2.14,0.0,0.0,-1.0,+
1128454,1.0,3.0,42.2,1.0,0.0,0.8,0.0,6.85,6.85,0.0,0.0,-1.0,+
1128457,1.0,0.5,1.0,1.0,0.0,1.0,0.0,23.36,23.36,0.0,0.0,-1.0,+
1233702,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.54,2.54,0.0,0.0,-1.0,+
1151378,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,-1.0,+
1212148,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.88,0.88,0.0,0.0,-1.0,+
1089837,1.0,0.0,0.0,1.0,1.0,1.0,0.0,47.11,47.11,0.0,0.0,-1.0,+
1089832,1.0,4.0,37.0,1.0,0.0,1.0,0.0,2.26,2.26,0.0,0.0,-1.0,+
1089833,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.18,0.18,0.0,0.0,-1.0,+
1117017,1.0,3.0,56.5,1.0,0.0,1.0,0.0,20.09,20.09,0.0,0.0,-1.0,+
1264380,1.0,1.0,4.0,1.0,0.0,1.0,0.0,71.3,71.3,0.0,0.0,-1.0,+
1264383,1.0,2.0,22.0,1.0,0.0,1.0,0.0,1.78,1.78,0.0,0.0,-1.0,+
1141783,1.0,0.0,0.0,1.0,1.0,1.0,0.0,169.11,169.11,0.0,0.0,-1.0,+
