bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
1042947,1,-1,0,0,0,0,0
1042414,1,-2,-1,1,-2,0,0
1042411,1,-3,-12,0,0,0,0
1043147,3,-3,3,3,-3,0,0
1043144,3,-2,6,3,-2,0,0
1043417,2,-1,1,0,0,0,0
1042949,1,-2,-2,0,0,0,0
1045591,3,-3,9,2,-1,3,-2
1042865,3,-2,2,0,0,0,0
1042860,3,-3,2,0,0,0,0
1042788,2,-3,-4,1,-1,0,0
1044600,3,-3,2,2,-1,1,-2
1044602,3,-4,-10,0,0,1,-1
1044130,2,-3,-1,2,-3,0,0
1045957,3,-2,7,1,-1,0,0
1045955,3,-3,-1,0,0,0,0
1045952,2,-1,1,2,-1,0,0
1045950,3,-3,-6,0,0,0,0
1043733,2,-3,-1,0,0,0,0
1045213,3,-3,13,3,-2,0,0
1044278,3,-3,19,1,-1,0,0
1045217,3,-2,6,1,-1,1,-1
1045929,3,-4,0,2,-1,0,0
1045923,2,-2,-1,1,-2,0,0
1045920,2,-2,-2,0,0,0,0
1045927,1,-1,0,0,0,0,0
1041893,1,-2,-1,1,-2,0,0
1042521,3,-2,-3,1,-1,2,-2
1041894,1,-1,0,1,-1,0,0
1042135,3,-4,18,3,-1,0,0
1045092,1,-1,0,1,-1,0,0
1044550,1,-2,-1,0,0,0,0
1044256,3,-3,0,0,0,0,0
1045500,2,-2,-2,1,-2,0,0
1042003,3,-1,5,1,-1,0,0
1045973,2,-3,-4,2,-3,2,-1
1042734,1,-2,-1,1,-2,0,0
1042735,2,-3,-10,1,-2,0,0
1043608,2,-4,-5,1,-2,0,0
1043358,3,-4,3,0,0,0,0
1043351,3,-2,-4,2,-2,0,0
1043602,3,-1,3,0,0,0,0
1046027,1,-1,0,0,0,0,0
1046025,2,-1,2,2,-1,0,0
1046022,3,-4,-5,3,-3,1,-2
1043603,2,-2,1,0,0,0,0
1042186,3,-3,7,3,-2,2,-1
1043350,3,-4,-4,1,-2,0,0
1042226,3,-5,-6,3,-5,0,0
1046182,2,-3,-3,2,-3,0,0
1043268,2,-2,0,1,-2,0,0
1043953,3,-5,-6,2,-2,0,0
1043954,1,-2,-2,1,-2,0,0
1043957,1,-1,0,0,0,0,0
1045436,1,-2,-1,1,-2,0,0
1043453,2,-2,0,0,0,0,0
1043106,2,-3,-6,0,0,0,0
1046013,1,-2,-2,1,-1,0,0
1043108,3,-2,2,0,0,0,0
1043692,3,-3,3,3,-3,0,0
1042823,3,-4,1,2,-2,0,0
1043690,3,-4,-11,3,-4,1,-1
1043696,3,-3,6,2,-1,2,-1
1042824,3,-4,-1,3,-4,0,0
1043695,2,-2,0,1,-1,0,0
1042982,3,-3,1,2,-3,0,0
1043515,4,-3,3,0,0,2,-2
1045176,2,-3,-1,0,0,0,0
1045178,1,-3,-5,0,0,0,0
1042631,2,-3,2,0,0,1,-1
1045722,3,-2,4,0,0,0,0
1045640,3,-3,-1,3,-3,1,-2
1045647,2,-2,0,0,0,0,0
1045646,3,-3,4,3,-2,0,0
1045882,3,-1,6,0,0,0,0
1044071,2,-2,0,0,0,0,0
1044077,4,-4,-6,4,-4,2,-2
1043772,2,-2,1,0,0,0,0
1043778,3,-3,-2,2,-2,1,-1
1043075,1,-2,-1,0,0,0,0
1044372,3,-2,1,0,0,0,0
1042857,2,-1,1,2,-1,0,0
1043588,1,-1,0,0,0,0,0
1043586,3,-4,-14,0,0,1,-2
1043584,3,-4,-14,3,-3,0,0
1046164,2,-2,-1,0,0,0,0
1042859,3,-3,9,3,-3,0,0
1046165,3,-3,-1,0,0,0,0
1044773,2,-3,-2,0,0,0,0
1046161,1,-2,-1,0,0,0,0
1046205,1,-3,-5,1,-3,0,0
1045824,2,-2,-4,0,0,1,-2
1044108,3,-4,2,3,-1,0,0
1044514,2,-3,-6,2,-2,0,0
1044102,4,-4,21,3,-3,2,-1
1046224,2,-2,0,0,0,0,0
1045915,1,-1,0,0,0,0,0
1044584,3,-4,-9,3,-3,3,-4
1044589,1,-3,-3,0,0,0,0
1044713,1,-1,0,0,0,0,0
1042672,2,-3,-1,2,-3,0,0
1045182,2,-3,0,0,0,0,0
1042675,2,-2,0,0,0,0,0
1042772,2,-3,-8,1,-1,0,0
1042771,3,-3,5,0,0,3,-1
1044205,3,-2,1,3,-2,1,-1
1042558,2,-2,0,0,0,0,0
1044193,3,-2,2,1,-1,1,-1
1044198,3,-3,2,1,-1,2,-1
1041855,1,-2,-2,0,0,1,-1
1043558,3,-3,-15,2,-2,0,0
1041926,1,-1,0,0,0,0,0
1043554,1,-2,-1,0,0,0,0
1041925,2,-3,-16,0,0,0,0
1043389,3,-3,0,0,0,0,0
1042253,3,-3,-1,0,0,0,0
1042708,1,-1,0,1,-1,0,0
1042259,2,-2,4,2,-2,0,0
1045139,3,-4,-3,0,0,1,-1
1043869,3,-2,2,2,-2,0,0
1046016,2,-2,1,0,0,0,0
1043862,4,-2,2,4,-2,0,0
1043865,2,-1,1,2,-1,0,0
1045682,2,-2,0,2,-2,0,0
1045680,3,-3,1,0,0,0,0
1045769,3,-2,-2,0,0,1,-1
1042387,3,-3,-7,0,0,0,0
1045760,3,-3,3,0,0,0,0
1043256,3,-2,0,1,-2,0,0
1043257,3,-3,-4,0,0,0,0
1045766,3,-2,6,0,0,0,0
1044709,4,-4,-3,1,-1,0,0
1044335,1,-1,0,0,0,0,0
1044702,3,-3,-1,2,-2,0,0
1044707,3,-3,1,0,0,0,0
1044706,2,-2,-2,1,-1,0,0
1043421,3,-4,-3,2,-4,0,0
1042959,3,-4,1,0,0,0,0
1043426,3,-3,-7,1,-2,1,-1
1045000,2,-3,0,2,-2,0,0
1042797,3,-3,1,0,0,0,0
1046197,2,-2,0,0,0,0,0
1042791,2,-2,-6,0,0,1,-2
1046245,3,-5,-8,3,-4,0,0
1045008,3,-4,0,0,0,1,-1
1042810,2,-2,0,0,0,0,0
1042798,4,-3,8,3,-3,2,-2
1045616,3,-2,-1,0,0,0,0
1046275,3,-2,0,1,-1,0,0
1046125,1,-2,-3,0,0,0,0
1045948,2,-2,0,0,0,0,0
1045945,3,-3,-8,1,-3,1,-1
1042825,1,-1,0,0,0,0,0
1045940,1,-2,-1,0,0,0,0
1045229,2,-3,0,2,-1,0,0
1043041,3,-3,1,3,-3,0,0
1044022,2,-2,1,0,0,0,0
1043721,3,-3,183,1,-1,0,0
1042926,2,-2,0,0,0,0,0
1045529,4,-3,3,4,-2,0,0
1046234,3,-2,6,3,-1,0,0
1046231,2,-2,-1,1,-2,2,-1
1045482,3,-3,-11,1,-2,0,0
1042536,3,-3,-2,3,-3,0,0
1041868,1,-3,-3,0,0,0,0
1042100,1,-2,-1,0,0,0,0
1042103,3,-4,-2,0,0,2,-2
1041864,1,-1,0,1,-1,0,0
1042104,3,-3,-9,0,0,1,-2
1041860,1,-1,0,1,-1,0,0
1044241,2,-4,3,0,0,1,-1
1044243,1,-1,0,1,-1,0,0
1044245,3,-4,-8,3,-4,0,0
1045532,3,-3,-6,1,-3,0,0
1045864,2,-3,0,2,-3,0,0
1043713,2,-1,1,1,-1,0,0
1042214,4,-3,8,0,0,1,-1
1045270,3,-4,-4,3,-3,0,0
1043612,2,-2,1,0,0,1,-1
1043346,3,-3,7,0,0,1,-1
1046053,3,-2,5,0,0,0,0
