bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1230117,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.45,0.0,0.0
1161614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1047823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1047824,201.0,1.6,7.6,1.2,0.66,2.1,3021.23,1.96,6.2,17.4
1130747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224643,422.0,2.0,34.0,3.0,0.05,1.78,12080.45,1.74,6.0,25.5
1224644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1238328,924.5,2.5,29.5,3.0,0.1,1.66,48978.68,1.69,3.67,22.33
1224647,1236.0,3.0,49.0,3.0,0.19,1.25,0.0,1.1,0.0,15.0
1272398,1842.33,3.0,127.67,3.67,0.43,14.12,1168703.18,1.64,88.0,57.33
1238320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1055310,323.9,2.3,5.4,2.0,0.45,2.28,16564.78,1.79,2.29,8.48
1191874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293194,406.6,2.0,18.0,2.0,0.38,2.78,115666.12,1.61,19.0,22.0
1057229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294320,1907.5,2.0,75.0,2.0,0.58,4.42,333862.4,1.61,30.5,46.5
1294321,1312.0,2.0,102.0,3.0,0.12,1.3,49.59,1.02,2.0,9.0
1057224,1031.0,1.0,29.0,1.0,1.58,210.82,1814893.59,1.24,976.0,7.5
1057225,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.51,0.0,0.0
1057222,702.75,2.5,32.25,3.0,0.27,1.55,18687.7,1.67,2.6,32.0
1057220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
